Porto,Mercadoria,Sentido,Volume Diário em Toneladas,Volume Diário em Movs
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,FERTILIZANTES,DESC   ,11550,
Paranaguá,CONTÊINERES,Imp/Exp,,500
Santos,FERTILIZANTES,DESC   ,49499,
Paranaguá,CONTÊINERES,Imp/Exp,,500
Santos,ENXOFRE A GRANEL,DESC   ,36300,
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"42.250,000",
Santos,FERTILIZANTES,DESC   ,36300,
Paranaguá,UREIA,Imp,"67.830,000",
Santos,ACUCAR A GRANEL,"EMB,     ",55000,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,ACUCAR A GRANEL,"EMB,     ",77000,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,GRAN.SOLIDO NAO ESPECIF,"EMB,     ",70000,
Paranaguá,OLEO DIESEL,Imp,"12.408,000",
Santos,ACUCAR A GRANEL,"EMB,     ",80000,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,ACUCAR A GRANEL,"EMB,     ",60000,
Paranaguá,CONTÊINERES,Imp/Exp,,350
Santos,ACUCAR A GRANEL,"EMB,     ",76900,
Paranaguá,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"27.280,000",
Santos,ACUCAR A GRANEL,"EMB,     ",47500,
Paranaguá,VEICULOS,Imp/Exp,,650
Santos,ACUCAR A GRANEL,"EMB,     ",78750,
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,ACUCAR A GRANEL,"EMB,     ",80000,
Paranaguá,ETILENOGLICOL (ETANODIOL),Imp,"1.800,000",
Santos,ACUCAR A GRANEL,"EMB,     ",76909,
Paranaguá,"BIODIESEL E SUAS MISTURAS,C/ M",Imp/Exp,"4.040,000",
Santos,ACUCAR A GRANEL,"EMB,     ",32000,
Paranaguá,ALIMET,Imp/Exp,"3.013,000",
Santos,ACUCAR A GRANEL,"EMB,     ",29500,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,ACUCAR A GRANEL,"EMB,     ",72000,
Paranaguá,OLEO DE SOJA,Exp,"10.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",33000,
Paranaguá,METANOL,Imp,"17.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",47250,
Paranaguá,SULFATO DE AMONIO,Imp,"65.021,000",
Santos,ACUCAR A GRANEL,"EMB,     ",75000,
Paranaguá,UREIA,Imp,"26.900,000",
Santos,ACUCAR A GRANEL,"EMB,     ",59500,
Paranaguá,CONTÊINERES,Imp/Exp,,500
Santos,ACUCAR A GRANEL,"EMB,     ",73600,
Paranaguá,CONTÊINERES,Imp/Exp,,1.000
Santos,ACUCAR A GRANEL,"EMB,     ",78000,
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,ACUCAR A GRANEL,"EMB,     ",75000,
Paranaguá,UREIA,Imp,"33.283,000",
Santos,ACUCAR A GRANEL,"EMB,     ",55000,
Paranaguá,CONTÊINERES,Imp/Exp,,350
Santos,ACUCAR A GRANEL,"EMB,     ",34000,
Paranaguá,AÇÚCAR,Exp,"10.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",48000,
Paranaguá,ALCOOL ETILICO,Exp,"8.200,000",
Santos,GRAN.SOLIDO NAO ESPECIF,"EMB,     ",88000,
Paranaguá,CONTÊINERES,Imp,,1.050
Santos,ACUCAR A GRANEL,"EMB,     ",53250,
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,ACUCAR A GRANEL,"EMB,     ",52500,
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,ACUCAR A GRANEL,"EMB,     ",49500,
Paranaguá,OUTS.CARREGADORAS/PAS-CARREGAD,Imp/Exp,"36.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",74230,
Paranaguá,CONTÊINERES,Imp/Exp,,900
Santos,ACUCAR A GRANEL,"EMB,     ",30000,
Paranaguá,FARELO DE SOJA,Exp,"58.300,000",
Santos,ACUCAR A GRANEL,"EMB,     ",32000,
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,ACUCAR A GRANEL,"EMB,     ",73600,
Paranaguá,AÇÚCAR (BRUTO),Exp,"33.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",71000,
Paranaguá,AÇÚCAR (BRUTO),Exp,"33.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",60000,
Paranaguá,CONTÊINERES,Imp/Exp,,500
Santos,ACUCAR A GRANEL,"EMB,     ",69165,
Paranaguá,OUTS.CARREGADORAS/PAS-CARREGAD,Imp/Exp,"36.000,000",
Santos,ACUCAR A GRANEL,"EMB,     ",80000,
Paranaguá,FOSFATO MONO OU DISSODICO,Imp,"43.975,000",
Santos,ACUCAR A GRANEL,"EMB,     ",31000,
Paranaguá,CONTÊINERES,Imp/Exp,,700
Santos,ACUCAR A GRANEL,"EMB,     ",25000,
Paranaguá,CONTÊINERES,Imp/Exp,,350
Santos,ACUCAR A GRANEL,"EMB,     ",25000,
Paranaguá,MAP,Imp,"25.150,000",
Santos,"VEICULOS/VRS/CCS.RO-RO, VEICULOS/VRS/CCS.RO-RO","EMB, DESC","1772, 13",
Paranaguá,CLORETO DE POTASSIO,Imp,"22.500,000",
Santos,"VEICULOS/VRS/CCS.RO-RO, VEICULOS/VRS/CCS.RO-RO","EMB, DESC","214, 44",
Paranaguá,SODA CÁUSTICA,Imp,"6.898,000",
Santos,"VEICULO, VEICULO","EMB, DESC","1000, 10",
Paranaguá,PASTA QUIM.MADEIRA DE N/CONIF.,Exp,"8.000,000",
Santos,"VEICULO, VEICULO","EMB, DESC","1000, 10",
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,MILHO,Exp,"66.800,000",
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,OUTS.ACUCARES,Exp,"33.000,000",
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,"NITRATO DE POTASSIO,COM TEOR E",Imp,"19.170,000",
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,SULFATO DE AMONIO,Imp,"40.500,000",
Santos,CARGA GERAL,"EMB,     ",100,
Paranaguá,SULFATO DE AMONIO,Imp,"3.530,000",
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,CONTÊINERES,Imp/Exp,,350
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,OLEO DE SOJA,Exp,"20.000,000",
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,CONTÊINERES,Imp/Exp,,700
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,CONTÊINERES,Imp/Exp,,1.020
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,OLEO DIESEL,Imp,"29.819,000",
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,CLORETOS DE POTASSIO,Exp,"8.000,000",
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,UREIA,Exp,"8.000,000",
Santos,CARGA GERAL,DESC   ,1,
Paranaguá,CONTÊINERES,Imp/Exp,,1.400
Santos,CARGA GERAL,"EMB,     ",1,
Paranaguá,AUTOMÓVEIS DE PASSAGEIROS E OU,Imp/Exp,"1,000",
Santos,CARGA GERAL,"EMB,     ",102,
Paranaguá,CONTÊINERES,Imp/Exp,,650
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,NAFTAS PARA PETROQUIMICA,Imp,"14.264,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,OLEO DIESEL,Imp/Exp,"23.000,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","18000, 1800",
Paranaguá,CONTÊINERES,Imp/Exp,,650
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","126, 18666",
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1080, 26226",
Paranaguá,PASSAGEIROS,Imp/Exp,"0,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","19800, 180",
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","20700, 180",
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,CONTEINERES CHEIOS,DESC   ,2124,
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"19.259,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES VAZIOS","EMB, DESC","12600, 900",
Paranaguá,UREIA,Imp,"13.500,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES VAZIOS","EMB, DESC","12600, 900",
Paranaguá,OLEO DIESEL,Imp,"29.726,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES VAZIOS","EMB, DESC","12600, 900",
Paranaguá,CONTÊINERES,Imp/Exp,,350
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,PASTA QUIM.MADEIRA DE N/CONIF.,Exp,"43.000,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,OLEOS BRUTOS DE PETROLEO,Imp,"12.966,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,CONTÊINERES,Imp/Exp,,800
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,SULFATO DE AMONIO,Imp,"24.300,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","12600, 1800",
Paranaguá,CONTÊINERES,Imp/Exp,,1.050
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 14400",
Paranaguá,CONTÊINERES,Imp/Exp,,1.300
